frame_idx,timestamp,mic_rms,mic_peak,ref_rms,ref_peak,ref_is_silence,delay_samples,delay_ms,is_double_talk,nlms_residual_rms,echo_est_rms,nls_output_rms,nls_bypassed,erle_instant_db,filter_norm,process_time_ms
26,1774518051.9728,0.07849911,0.176025,0.00000864,0.000092,0,0,0.00,1,0.07849906,0.00000574,0.07338496,0,0.59,0.249324,5.605
27,1774518052.0425,0.11237363,0.318237,0.00000815,0.000061,0,0,0.00,1,0.11237343,0.00000560,0.07704705,0,3.28,0.249324,5.911
28,1774518052.1035,0.10153645,0.336975,0.00000934,0.000061,0,0,0.00,1,0.10153610,0.00000509,0.10153610,1,0.00,0.249324,5.741
29,1774518052.1727,0.09470082,0.313843,0.00002568,0.000122,0,0,0.00,1,0.09470021,0.00000615,0.09470021,1,0.00,0.249324,6.415
30,1774518052.2335,0.09441843,0.323273,0.00034596,0.001953,0,0,0.00,1,0.09441937,0.00002680,0.09222439,0,0.20,0.249324,5.814
31,1774518052.2930,0.03221563,0.095764,0.00208826,0.007751,0,0,0.00,1,0.03225068,0.00041908,0.03225068,1,-0.01,0.249324,5.899
32,1774518052.3622,0.01206100,0.041565,0.00278448,0.009552,0,0,0.00,1,0.01199489,0.00064761,0.01199489,1,0.05,0.249324,5.402
1,1774518052.4227,0.00908783,0.052124,0.00473184,0.016968,0,0,0.00,1,0.00927636,0.00129971,0.00927636,1,-0.18,0.249324,6.169
2,1774518052.4929,0.03645734,0.095398,0.00469924,0.015747,0,0,0.00,1,0.03628934,0.00113684,0.00826429,0,12.89,0.249324,5.885
3,1774518052.5528,0.01289935,0.030884,0.00587356,0.021484,0,0,0.00,1,0.01292808,0.00158575,0.01292808,1,-0.02,0.249324,6.218
4,1774518052.6136,0.00935019,0.031036,0.00734613,0.024170,0,0,0.00,1,0.00978630,0.00197663,0.00978630,1,-0.40,0.249324,6.077
5,1774518052.6830,0.00364068,0.014130,0.00484733,0.019684,0,0,0.00,1,0.00413638,0.00226948,0.00413638,1,-1.11,0.249324,5.866
6,1774518052.7436,0.00387279,0.012238,0.00287946,0.009277,0,0,0.00,1,0.00480009,0.00279019,0.00296843,0,2.31,0.249324,6.457
7,1774518052.8127,0.00368288,0.010284,0.00193244,0.006378,0,0,0.00,1,0.00486276,0.00356032,0.00258738,0,3.07,0.249324,6.445
8,1774518052.8847,0.00246834,0.007385,0.00023536,0.002350,0,0,0.00,0,0.00146641,0.00192294,0.00146641,1,4.52,0.287198,17.361
9,1774518052.9457,0.00364665,0.011536,0.00056606,0.002716,0,0,0.00,0,0.00277478,0.00265090,0.00070470,0,14.28,0.495540,18.884
10,1774518053.0029,0.00350541,0.013794,0.00009159,0.000427,0,0,0.00,1,0.00366497,0.00132969,0.00108319,0,10.20,0.495540,6.077
11,1774518053.0637,0.00369885,0.011719,0.00020767,0.000793,0,0,0.00,1,0.00371504,0.00031313,0.00166953,0,6.91,0.495540,6.034
12,1774518053.1319,0.00291741,0.011688,0.00028376,0.000946,0,0,0.00,1,0.00291585,0.00001981,0.00163392,0,5.04,0.495540,5.646
13,1774518053.1942,0.00163397,0.005005,0.00034657,0.001221,0,0,0.00,1,0.00162995,0.00002073,0.00105928,0,3.76,0.495540,6.642
14,1774518053.2546,0.00073632,0.002838,0.00030694,0.001373,0,0,0.00,1,0.00073646,0.00001500,0.00040178,0,5.26,0.495540,5.867
15,1774518053.3221,0.00045754,0.001312,0.00032005,0.000946,0,0,0.00,1,0.00045767,0.00001711,0.00013829,0,10.37,0.495540,5.917
16,1774518053.3820,0.00147556,0.004883,0.00038513,0.001526,0,0,0.00,1,0.00147612,0.00002262,0.00006532,0,26.98,0.495540,5.639
17,1774518053.4553,0.00154452,0.004456,0.00036524,0.001709,0,0,0.00,1,0.00154487,0.00004017,0.00081691,0,5.53,0.495540,7.926
18,1774518053.5131,0.00125341,0.003754,0.00037794,0.001617,0,0,0.00,1,0.00125639,0.00009887,0.00104603,0,1.57,0.495540,5.902
19,1774518053.5727,0.00076339,0.002319,0.00053327,0.002014,0,0,0.00,1,0.00076263,0.00002115,0.00059374,0,2.18,0.495540,6.325
20,1774518053.6428,0.00049638,0.001709,0.00045898,0.001709,0,0,0.00,1,0.00049801,0.00002424,0.00020295,0,7.76,0.495540,6.089
21,1774518053.7034,0.00063503,0.001984,0.00065226,0.002502,0,0,0.00,1,0.00063420,0.00002755,0.00013000,0,13.75,0.495540,6.151
22,1774518053.7719,0.00055670,0.001862,0.00038014,0.001801,0,0,0.00,1,0.00056150,0.00005982,0.00013443,0,12.32,0.495540,5.861
23,1774518053.8448,0.00059435,0.001617,0.00051493,0.001953,0,0,0.00,0,0.00084267,0.00035922,0.00006564,0,19.04,0.502785,18.093
24,1774518053.9055,0.00067452,0.001923,0.00027495,0.001282,0,0,0.00,0,0.00090159,0.00042988,0.00030321,0,6.94,0.520226,18.884
25,1774518053.9754,0.00053815,0.001526,0.00023091,0.001129,0,0,0.00,0,0.00064080,0.00036671,0.00047873,0,1.01,0.550851,18.605
26,1774518054.0225,0.00065534,0.001923,0.00072741,0.002289,0,0,0.00,1,0.00085856,0.00054959,0.00034537,0,5.56,0.550851,5.761
27,1774518054.0925,0.00086718,0.003540,0.00008681,0.000366,0,0,0.00,1,0.00097751,0.00034193,0.00030337,0,9.12,0.550851,5.912
28,1774518054.1535,0.00056797,0.001709,0.00000000,0.000000,0,0,0.00,1,0.00054471,0.00016479,0.00030155,0,5.49,0.550851,6.480
29,1774518054.2135,0.00060332,0.002441,0.00021036,0.000946,0,0,0.00,1,0.00098018,0.00061011,0.00016191,0,11.41,0.550851,5.704
30,1774518054.2825,0.00072818,0.002197,0.00011634,0.000702,0,0,0.00,1,0.00080018,0.00044304,0.00049040,0,3.43,0.550851,5.898
31,1774518054.3457,0.00050877,0.001678,0.00011634,0.000702,0,0,0.00,1,0.00050494,0.00005774,0.00043440,0,1.37,0.550851,7.055
32,1774518054.4134,0.00039633,0.001129,0.00067653,0.002625,0,0,0.00,1,0.00042124,0.00025108,0.00024153,0,4.29,0.550851,6.148
1,1774518054.4727,0.00042198,0.001038,0.00033795,0.001495,0,0,0.00,1,0.00058059,0.00038396,0.00013321,0,9.99,0.550851,5.726
